,duration_ms,instance_id,track_name,tempo,artist_name,popularity,loudness,key,music_genre,mode,obtained_date,acousticness
duration_ms,1.0,-0.005847708900970949,0.013114967153198332,-0.006326151043752516,-0.004754790811886591,-0.08380905501762363,-0.10250891974419318,-0.004292805885697781,-0.028516800359446058,0.014041655959951813,-0.023649318665582876,0.0618624841873783
instance_id,-0.005847708900970949,1.0,-0.008042356262760456,0.0013030122914695667,0.007326063907326868,0.006316694284404344,0.006846905977293528,0.0011887248423967166,-0.0008613773780854972,0.00618897796600793,0.002522887592222174,-0.005267688681488003
track_name,0.013114967153198332,-0.008042356262760456,1.0,0.0018224503853709357,0.034997478978774116,-0.06914099749481344,-0.017242906429577137,0.0005481280801878321,-0.055949743820521404,0.004226876276932736,-0.007821505993198015,0.0275797320288384
tempo,-0.006326151043752516,0.0013030122914695667,0.0018224503853709357,1.0,-0.023737923794593833,-0.012906312950973985,-0.05985328656790882,0.007683937013925952,-0.004472069716651592,0.0059527023286609915,-0.02466812321856667,0.07643358314499751
artist_name,-0.004754790811886591,0.007326063907326868,0.034997478978774116,-0.023737923794593833,1.0,-0.00446562859343585,0.03743634958766704,-0.00442313342848697,-0.024819365601098358,-0.0038794944640918603,0.01910997567869233,-0.043093969449753536
popularity,-0.08380905501762363,0.006316694284404344,-0.06914099749481344,-0.012906312950973985,-0.00446562859343585,1.0,0.31794092254815126,-0.005211525727126406,0.5021326547705074,0.013427006629337315,0.12044423644602348,-0.29045273716455333
loudness,-0.10250891974419318,0.006846905977293528,-0.017242906429577137,-0.05985328656790882,0.03743634958766704,0.31794092254815126,1.0,-0.003094797811483491,0.10252005640649976,0.00874423028330015,0.20880267675326886,-0.7304014937378295
key,-0.004292805885697781,0.0011887248423967166,0.0005481280801878321,0.007683937013925952,-0.00442313342848697,-0.005211525727126406,-0.003094797811483491,1.0,-0.01181186764982575,-0.05699485146963083,0.0013909332584080745,0.005796428730451166
music_genre,-0.028516800359446058,-0.0008613773780854972,-0.055949743820521404,-0.004472069716651592,-0.024819365601098358,0.5021326547705074,0.10252005640649976,-0.01181186764982575,1.0,0.0404569110976396,0.08098964203250646,-0.0979689625183396
mode,0.014041655959951813,0.00618897796600793,0.004226876276932736,0.0059527023286609915,-0.0038794944640918603,0.013427006629337315,0.00874423028330015,-0.05699485146963083,0.0404569110976396,1.0,0.025915640445688153,-0.025160602227101026
obtained_date,-0.023649318665582876,0.002522887592222174,-0.007821505993198015,-0.02466812321856667,0.01910997567869233,0.12044423644602348,0.20880267675326886,0.0013909332584080745,0.08098964203250646,0.025915640445688153,1.0,-0.20596389561466072
acousticness,0.0618624841873783,-0.005267688681488003,0.0275797320288384,0.07643358314499751,-0.043093969449753536,-0.29045273716455333,-0.7304014937378295,0.005796428730451166,-0.0979689625183396,-0.025160602227101026,-0.20596389561466072,1.0
