component,explained_variance_ratio,cumulative
1,0.1814329950063784,0.1814329950063784
2,0.10511601912142261,0.28654901412780104
3,0.08863016414339045,0.3751791782711915
4,0.08403570272096365,0.4592148809921552
5,0.08370705538958123,0.5429219363817364
6,0.08324384923382248,0.6261657856155588
7,0.08178774693721301,0.7079535325527718
8,0.07922289852100946,0.7871764310737813
9,0.07793388294452264,0.865110314018304
10,0.07440665209685887,0.9395169661151628
11,0.03821745927723011,0.9777344253923929
12,0.022265574607607044,0.9999999999999999
